File,Object,x0,y0,x1,y1
1001471_20204_3_0,Spleen,230,147,308,223
1001471_20204_3_0,Aorta,199,160,221,182
1001471_20204_3_0,IVC,170,158,184,173
1001653_20204_2_0,Liver,52,70,296,237
1001653_20204_2_0,Body,22,2,371,284
1001653_20204_2_0,Spleen,247,160,329,242
1001653_20204_2_0,Aorta,195,149,228,182
1001653_20204_2_0,IVC,158,159,183,181
1001878_20204_2_0,Spleen,235,170,297,226
1001878_20204_2_0,Aorta,194,162,215,185
1001878_20204_2_0,IVC,167,163,182,177
1001878_20204_2_0,Body,38,74,350,245
1001878_20204_2_0,Liver,80,97,272,221
1002020_20204_2_0,Liver,54,99,249,249
1002020_20204_2_0,Body,1,43,377,274
1002020_20204_2_0,Spleen,209,204,297,233
1002020_20204_2_0,Aorta,188,167,212,193
1002219_20204_2_0,Liver,72,106,228,234
1002219_20204_2_0,Body,36,83,340,270
1002219_20204_2_0,Spleen,229,152,295,233
1002219_20204_2_0,Aorta,184,162,205,184
1002219_20204_2_0,IVC,156,165,178,188
1002267_20204_2_0,Liver,53,97,262,224
1002267_20204_2_0,Body,43,78,323,252
1002267_20204_2_0,Spleen,231,168,301,221
1002267_20204_2_0,Aorta,187,154,212,178
1002267_20204_2_0,IVC,145,159,178,180
1002293_20204_2_0,Liver,82,82,225,211
1002293_20204_2_0,Body,70,56,308,238
1002293_20204_2_0,Aorta,187,143,211,167
1002360_20204_2_0,Liver,91,77,224,215
1002360_20204_2_0,Body,62,35,344,249
1002360_20204_2_0,Spleen,251,116,318,210
1002360_20204_2_0,Aorta,204,139,228,163
1002406_20204_2_0,Liver,74,61,256,215
1002406_20204_2_0,Body,30,29,351,254
1002406_20204_2_0,Spleen,243,140,307,211
1002406_20204_2_0,Aorta,202,147,235,178
1002607_20204_2_0,Liver,85,79,243,210
1002607_20204_2_0,Body,53,52,343,248
1002607_20204_2_0,Spleen,237,171,282,210
1002607_20204_2_0,Aorta,187,154,206,175
1002607_20204_2_0,IVC,162,148,177,165
1002712_20204_2_0,Liver,67,63,227,224
1002712_20204_2_0,Body,27,32,341,261
1002712_20204_2_0,Spleen,228,159,297,223
1002712_20204_2_0,Aorta,183,152,204,177
1002830_20204_2_0,Liver,56,77,234,234
1002830_20204_2_0,Spleen,225,165,297,245
1002830_20204_2_0,Body,21,46,327,273
1002830_20204_2_0,Aorta,172,162,198,187
1002830_20204_2_0,IVC,136,159,154,184
1002830_20204_3_0,Liver,58,59,229,218
1002830_20204_3_0,Body,26,26,337,252
1002830_20204_3_0,Spleen,249,141,309,223
1002830_20204_3_0,IVC,147,143,166,162
1002830_20204_3_0,Aorta,183,143,206,167
1002845_20204_2_0,Liver,85,79,278,205
1002845_20204_2_0,Body,59,53,315,232
1002845_20204_2_0,Spleen,213,148,291,204
1002845_20204_2_0,Aorta,184,138,210,160
1002845_20204_2_0,IVC,160,139,180,163
1003257_20204_2_0,Liver,56,81,163,225
1003257_20204_2_0,Body,36,38,331,256
1003257_20204_2_0,Heart,181,73,270,137
1003257_20204_2_0,Aorta,184,149,218,177
1003483_20204_2_0,Liver,80,89,259,224
1003483_20204_2_0,Body,38,46,353,254
1003483_20204_2_0,Spleen,235,164,298,214
1003483_20204_2_0,Aorta,205,161,227,189
1003483_20204_2_0,IVC,171,152,184,171
1003652_20204_2_0,Liver,50,65,214,212
1003652_20204_2_0,Body,22,33,335,252
1003652_20204_2_0,Spleen,222,137,307,219
1003652_20204_2_0,Aorta,186,142,219,172
1003816_20204_2_0,Liver,86,79,278,207
1003816_20204_2_0,Body,73,50,323,233
1003816_20204_2_0,Spleen,232,141,304,203
1003816_20204_2_0,Aorta,197,135,219,160
1003816_20204_2_0,IVC,168,140,182,154
1003860_20204_2_0,Liver,65,72,208,213
1003860_20204_2_0,Body,30,25,356,263
1003860_20204_2_0,Spleen,237,128,317,209
1003860_20204_2_0,Aorta,203,148,229,172
1003860_20204_2_0,IVC,157,141,183,155
1003970_20204_2_0,Liver,64,36,240,232
1003970_20204_2_0,Body,19,0,365,268
1003970_20204_2_0,Spleen,214,137,315,222
1003970_20204_2_0,Aorta,181,144,208,173
1004328_20204_2_0,Body,51,36,350,254
1004328_20204_2_0,Liver,81,71,251,216
1004328_20204_2_0,Spleen,222,138,313,214
1004328_20204_2_0,Aorta,200,151,225,172
1004625_20204_2_0,Liver,59,64,208,222
1004625_20204_2_0,Body,35,35,349,250
1004625_20204_2_0,Spleen,267,159,329,220
1004625_20204_2_0,Aorta,192,142,219,164
1004625_20204_2_0,IVC,147,139,179,163
1004667_20204_2_0,Liver,73,72,231,226
1004667_20204_2_0,Body,33,37,358,258
1004667_20204_2_0,Spleen,227,153,309,221
1004667_20204_2_0,Aorta,203,151,226,175
1004718_20204_2_0,Liver,80,130,240,247
1004718_20204_2_0,Body,62,107,314,267
1004718_20204_2_0,Aorta,189,183,205,203
1004718_20204_2_0,IVC,157,186,171,202
1004718_20204_3_0,Liver,70,126,237,240
1004718_20204_3_0,Body,42,97,318,267
1004718_20204_3_0,Spleen,195,200,274,245
1004718_20204_3_0,Aorta,176,181,198,199
1004718_20204_3_0,IVC,143,179,160,197
1004756_20204_2_0,Liver,71,61,230,207
1004756_20204_2_0,Body,48,16,346,266
1004756_20204_2_0,Spleen,242,154,316,221
1004756_20204_2_0,Aorta,200,154,229,181
1004869_20204_2_0,Liver,78,116,235,232
1004869_20204_2_0,Body,44,80,331,267
1004869_20204_2_0,Spleen,224,202,281,233
1004869_20204_2_0,Aorta,187,161,217,187
1004869_20204_2_0,IVC,158,169,178,185
1004875_20204_2_0,Liver,58,63,227,229
1004875_20204_2_0,Body,9,22,364,264
1004875_20204_2_0,Spleen,242,136,323,231
1004875_20204_2_0,Aorta,178,149,205,174
1004943_20204_2_0,Liver,67,56,244,225
1004943_20204_2_0,Body,32,4,362,270
1004943_20204_2_0,Spleen,245,137,329,229
1004943_20204_2_0,Aorta,203,152,232,182
1004943_20204_2_0,IVC,170,138,191,151
1004952_20204_2_0,Liver,69,67,232,221
1004952_20204_2_0,Body,23,31,351,258
1004952_20204_2_0,Aorta,190,147,218,175
1005153_20204_2_0,Liver,56,72,208,233
1005153_20204_2_0,Body,27,30,346,280
1005153_20204_2_0,Aorta,183,156,205,176
1005153_20204_2_0,IVC,144,151,170,168
1005153_20204_2_0,Spleen,221,181,310,230
1005250_20204_2_0,Liver,85,77,253,224
1005250_20204_2_0,Body,50,40,363,256
1005250_20204_2_0,Spleen,247,139,307,207
1005250_20204_2_0,Aorta,213,147,235,168
1005250_20204_2_0,IVC,180,142,201,159
1005250_20204_2_0,Cyst,152,97,164,108
1005250_20204_2_0,Cyst,170,87,192,106
1005250_20204_2_0,Cyst,160,118,171,128
1005250_20204_2_0,Cyst,102,183,114,196
1005268_20204_2_0,Liver,69,53,217,221
1005268_20204_2_0,Body,20,8,361,266
1005268_20204_2_0,Aorta,211,152,238,182
1005268_20204_2_0,IVC,175,130,194,149
1005268_20204_2_0,Spleen,238,156,292,216
1005515_20204_2_0,Liver,48,76,221,247
1005515_20204_2_0,Body,17,31,373,277
1005515_20204_2_0,Spleen,248,179,328,237
1005515_20204_2_0,Aorta,192,164,218,188
1005515_20204_2_0,IVC,150,163,175,180
1005608_20204_2_0,Liver,85,80,256,207
1005608_20204_2_0,Body,42,46,352,232
1005608_20204_2_0,Spleen,220,149,299,210
1005608_20204_2_0,Aorta,197,137,224,164
1005608_20204_2_0,IVC,169,137,193,156
1005620_20204_2_0,Liver,70,74,238,205
1005620_20204_2_0,Body,44,25,353,253
1005620_20204_2_0,Aorta,201,151,225,177
1005631_20204_2_0,Liver,46,45,184,215
1005631_20204_2_0,Body,24,20,348,272
1005631_20204_2_0,Spleen,218,176,292,231
1005631_20204_2_0,Aorta,176,160,198,181
1005631_20204_2_0,IVC,148,152,160,162
1005707_20204_2_0,Liver,79,88,233,216
1005707_20204_2_0,Body,48,51,337,248
1005707_20204_2_0,Spleen,232,157,300,220
1005707_20204_2_0,Aorta,194,149,216,175
1005707_20204_2_0,IVC,161,150,180,168
1005736_20204_2_0,Liver,74,90,192,217
1005736_20204_2_0,Body,13,50,359,259
1005736_20204_2_0,Spleen,237,178,308,224
1005736_20204_2_0,Aorta,188,139,216,163
1005736_20204_2_0,IVC,162,147,186,162
1005782_20204_2_0,Liver,95,74,241,196
1005782_20204_2_0,Body,83,50,320,235
1005782_20204_2_0,Spleen,249,164,295,204
1005782_20204_2_0,Aorta,194,130,215,151
1005782_20204_2_0,IVC,168,140,186,152
1005888_20204_2_0,Liver,80,88,254,207
1005888_20204_2_0,Body,68,77,314,228
1005888_20204_2_0,Aorta,188,141,209,160
1005888_20204_2_0,IVC,160,133,184,155
1005888_20204_2_0,Spleen,228,146,295,207
1005916_20204_2_0,Liver,97,73,282,226
1005916_20204_2_0,Body,27,20,360,274
1005916_20204_2_0,Spleen,239,151,303,217
1005916_20204_2_0,Heart,239,118,279,165
1005916_20204_2_0,Aorta,208,162,227,183
1005916_20204_2_0,IVC,184,152,203,177
1006098_20204_2_0,Liver,86,82,252,220
1006098_20204_2_0,Body,66,59,327,243
1006098_20204_2_0,Spleen,227,138,305,211
1006098_20204_2_0,Aorta,204,153,227,175
1006098_20204_2_0,IVC,169,151,186,164
1006111_20204_2_0,Liver,72,83,212,236
1006111_20204_2_0,Body,25,45,351,269
1006111_20204_2_0,Spleen,225,161,300,227
1006111_20204_2_0,Aorta,192,174,214,195
1006111_20204_2_0,IVC,169,162,183,177
1006137_20204_2_0,Liver,71,102,268,239
1006137_20204_2_0,Body,52,69,332,268
1006137_20204_2_0,Spleen,232,193,283,228
1006137_20204_2_0,Aorta,189,157,214,179
1006137_20204_2_0,IVC,156,167,177,181
1006361_20204_2_0,Liver,79,84,242,225
1006361_20204_2_0,Body,60,60,333,250
1006361_20204_2_0,Spleen,246,154,306,218
1006361_20204_2_0,Aorta,196,150,222,181
1006361_20204_2_0,IVC,157,156,178,179
1006422_20204_2_0,Liver,53,88,231,235
1006422_20204_2_0,Body,41,58,337,259
1006422_20204_2_0,Spleen,230,144,313,223
1006422_20204_2_0,Aorta,195,145,214,170
1006422_20204_2_0,IVC,154,147,186,165
1006422_20204_3_0,Liver,52,91,204,232
1006422_20204_3_0,Body,34,45,340,263
1006422_20204_3_0,Aorta,193,152,213,180
1006422_20204_3_0,IVC,154,149,177,168
1006422_20204_3_0,Lung,210,82,326,234
1006477_20204_2_0,Liver,83,80,252,209
1006477_20204_2_0,Body,3,40,374,243
1006477_20204_2_0,Kidney,132,150,176,193
1006477_20204_2_0,Kidney,214,141,263,188
1006477_20204_2_0,Spleen,260,164,306,202
1006477_20204_2_0,Aorta,191,124,212,145
1006477_20204_2_0,IVC,165,131,185,146
1006501_20204_2_0,Liver,82,77,236,225
1006501_20204_2_0,Body,53,33,354,272
1006501_20204_2_0,Spleen,243,166,327,224
1006501_20204_2_0,Aorta,206,161,231,188
1006527_20204_2_0,Liver,77,81,248,229
1006527_20204_2_0,Body,17,37,368,270
1006527_20204_2_0,Spleen,230,177,294,225
1006527_20204_2_0,Heart,233,114,282,187
1006527_20204_2_0,Aorta,203,163,224,186
1006635_20204_2_0,Liver,79,93,233,234
1006635_20204_2_0,Body,59,62,341,268
1006635_20204_2_0,Spleen,255,159,317,232
1006635_20204_2_0,Aorta,201,159,226,185
1006635_20204_2_0,IVC,168,159,197,181
1006793_20204_2_0,Liver,73,78,220,232
1006793_20204_2_0,Body,31,32,344,268
1006793_20204_2_0,Spleen,228,160,320,231
1006793_20204_2_0,Aorta,192,149,220,174
1007015_20204_2_0,Liver,39,59,258,232
1007015_20204_2_0,Body,22,24,361,266
1007015_20204_2_0,Aorta,195,145,226,176
1007015_20204_2_0,Spleen,255,159,325,222
1007125_20204_2_0,Liver,62,60,249,228
1007125_20204_2_0,Body,47,21,362,258
1007125_20204_2_0,Spleen,242,156,311,210
1007125_20204_2_0,Aorta,209,142,238,167
1007321_20204_2_0,Liver,87,114,252,214
1007321_20204_2_0,Body,68,76,344,239
1007321_20204_2_0,Spleen,229,153,307,215
1007321_20204_2_0,Aorta,204,159,223,178
1007321_20204_2_0,IVC,175,159,192,169
1007426_20204_2_0,Liver,79,99,234,236
1007426_20204_2_0,Body,62,70,359,262
1007426_20204_2_0,Spleen,247,175,326,234
1007426_20204_2_0,Aorta,216,163,241,188
1007426_20204_2_0,IVC,179,169,200,184
1007474_20204_2_0,Liver,95,107,268,229
1007474_20204_2_0,Body,89,89,315,246
1007474_20204_2_0,Spleen,218,167,303,228
1007474_20204_2_0,Aorta,202,163,221,185
1007474_20204_2_0,IVC,172,169,191,186
1007474_20204_3_0,Liver,81,83,231,209
1007474_20204_3_0,Body,71,55,312,235
1007474_20204_3_0,Kidney,208,155,262,206
1007474_20204_3_0,Aorta,190,137,210,158
1007474_20204_3_0,IVC,162,146,185,162
1007509_20204_2_0,Liver,83,72,272,212
1007509_20204_2_0,Body,51,49,335,244
1007509_20204_2_0,Spleen,239,147,312,213
1007509_20204_2_0,Aorta,207,143,227,164
1007509_20204_2_0,IVC,169,140,195,158
1007677_20204_2_0,Liver,64,107,222,227
1007677_20204_2_0,Body,41,67,343,261
1007677_20204_2_0,Spleen,219,167,305,223
1007677_20204_2_0,Aorta,200,160,221,184
1007677_20204_2_0,IVC,157,161,183,180
1007677_20204_3_0,Liver,58,69,222,211
1007677_20204_3_0,Body,35,36,361,248
1007677_20204_3_0,Aorta,202,144,228,170
1007872_20204_2_0,Liver,79,63,260,221
1007872_20204_2_0,Body,50,23,332,260
1007872_20204_2_0,Spleen,238,162,300,216
1007872_20204_2_0,Aorta,186,151,209,175
1007872_20204_2_0,IVC,168,135,185,154
1008365_20204_2_0,Liver,90,84,233,208
1008365_20204_2_0,Body,69,54,323,231
1008365_20204_2_0,Spleen,227,162,297,215
1008365_20204_2_0,Aorta,189,141,210,163
1008365_20204_2_0,IVC,164,139,183,156
1008365_20204_2_0,Cyst,94,140,139,188
1008365_20204_2_0,Cyst,105,124,127,143
1008505_20204_2_0,Liver,54,101,262,260
1008505_20204_2_0,Body,31,58,383,287
1008505_20204_2_0,Spleen,268,167,358,258
1008505_20204_2_0,Aorta,221,172,253,207
1008505_20204_2_0,IVC,164,168,194,193
1008581_20204_2_0,Liver,81,98,260,223
1008581_20204_2_0,Body,19,55,348,245
1008581_20204_2_0,Aorta,197,153,215,173
1008581_20204_2_0,IVC,168,151,186,164
1008618_20204_2_0,Liver,99,98,264,211
1008618_20204_2_0,Body,67,62,327,235
1008618_20204_2_0,Spleen,226,125,299,204
1008618_20204_2_0,Aorta,206,152,225,170
1008618_20204_2_0,IVC,180,152,191,166
1008783_20204_2_0,Liver,84,64,238,219
1008783_20204_2_0,Body,52,23,344,261
1008783_20204_2_0,Spleen,229,146,310,220
1008783_20204_2_0,Aorta,195,154,218,179
1008783_20204_2_0,IVC,171,151,187,165
1008826_20204_2_0,Liver,69,110,295,234
1008826_20204_2_0,Body,37,68,329,266
1008826_20204_2_0,Aorta,195,169,219,193
1008906_20204_2_0,Liver,80,110,253,235
1008906_20204_2_0,Body,60,76,323,259
1008906_20204_2_0,Spleen,221,179,301,230
1008906_20204_2_0,Aorta,190,150,213,176
1008906_20204_2_0,IVC,166,163,183,178
1009163_20204_2_0,Liver,94,87,245,235
1009163_20204_2_0,Body,48,56,381,272
1009163_20204_2_0,Aorta,232,182,256,207
1009163_20204_2_0,IVC,194,169,210,187
1009187_20204_2_0,Liver,47,101,191,229
1009187_20204_2_0,Body,27,62,317,269
1009187_20204_2_0,Kidney,188,185,244,224
1009192_20204_2_0,Liver,71,116,240,238
1009192_20204_2_0,Body,41,83,335,266
1009192_20204_2_0,Spleen,239,181,297,239
1009192_20204_2_0,Aorta,185,161,208,187
1009192_20204_2_0,IVC,153,170,172,187
1009192_20204_2_0,Heart,235,138,280,184
1009192_20204_2_0,Kidney,203,194,234,237
1009259_20204_2_0,Liver,53,101,246,250
1009259_20204_2_0,Body,41,86,330,279
1009259_20204_2_0,Spleen,202,197,287,245
1009259_20204_2_0,Aorta,181,174,206,199
1009259_20204_2_0,IVC,150,172,174,190
1009520_20204_2_0,Liver,75,60,218,233
1009520_20204_2_0,Spleen,241,170,318,231
1009520_20204_2_0,Aorta,191,163,216,187
1009520_20204_2_0,IVC,163,160,181,171
1009520_20204_2_0,Body,44,29,357,270
1009520_20204_3_0,Liver,74,69,228,231
1009520_20204_3_0,Body,39,18,360,262
1009520_20204_3_0,Spleen,250,173,319,225
1009520_20204_3_0,Aorta,192,155,215,180
1009520_20204_3_0,IVC,163,153,182,172
1009722_20204_2_0,Spleen,226,160,300,233
1009722_20204_2_0,Liver,73,92,232,232
1009722_20204_2_0,Body,48,63,325,272
1009722_20204_2_0,Aorta,197,166,222,191
1009722_20204_2_0,IVC,169,161,184,180
1009722_20204_3_0,Liver,90,81,254,221
1009722_20204_3_0,Body,56,55,346,257
1009722_20204_3_0,Spleen,239,161,295,215
1009722_20204_3_0,Aorta,212,160,235,184
1009865_20204_2_0,Spleen,235,169,323,215
1009865_20204_2_0,Liver,94,94,251,216
1009865_20204_2_0,Body,73,70,345,248
1009865_20204_2_0,Aorta,211,145,232,168
1009865_20204_2_0,IVC,182,149,205,167
1009865_20204_2_0,Cyst,161,132,174,147
1009884_20204_2_0,Liver,69,62,242,224
1009884_20204_2_0,Body,54,33,352,254
1009884_20204_2_0,Spleen,233,161,307,203
1009884_20204_2_0,Aorta,208,150,236,175
1009884_20204_2_0,IVC,163,143,195,168
1009896_20204_2_0,Liver,70,87,222,216
1009896_20204_2_0,Body,48,59,332,243
1009896_20204_2_0,Aorta,186,137,205,157
1010032_20204_2_0,Liver,83,64,250,223
1010032_20204_2_0,Body,50,28,359,254
1010032_20204_2_0,Spleen,275,120,330,212
1010032_20204_2_0,Aorta,204,148,230,171
1010032_20204_2_0,IVC,175,138,191,158
1010048_20204_2_0,Liver,65,72,210,238
1010048_20204_2_0,Body,31,27,372,272
1010048_20204_2_0,Spleen,247,136,341,233
1010048_20204_2_0,Aorta,207,158,233,183
1010382_20204_2_0,Liver,80,90,277,213
1010382_20204_2_0,Body,54,43,346,243
1010382_20204_2_0,Spleen,238,170,289,206
1010382_20204_2_0,Aorta,199,136,225,169
1010382_20204_2_0,IVC,162,141,190,160
1010518_20204_2_0,Spleen,228,191,316,238
1010518_20204_2_0,Liver,100,126,282,237
1010518_20204_2_0,Body,64,86,379,265
1010518_20204_2_0,Aorta,207,166,231,191
1010518_20204_2_0,IVC,181,173,203,190
1010518_20204_2_0,Heart,279,143,317,187
1010563_20204_2_0,Liver,70,60,240,225
1010563_20204_2_0,Body,49,29,344,256
1010563_20204_2_0,Spleen,233,180,296,217
1010563_20204_2_0,Aorta,190,146,210,171
1010563_20204_2_0,IVC,166,147,178,159
1010616_20204_2_0,Liver,71,82,224,238
1010616_20204_2_0,Body,52,51,333,267
1010616_20204_2_0,Spleen,230,171,294,234
1010616_20204_2_0,Aorta,190,173,211,194
1010616_20204_2_0,IVC,158,167,173,183
1010660_20204_2_0,Liver,80,83,267,210
1010660_20204_2_0,Body,60,52,327,234
1010660_20204_2_0,Spleen,256,127,299,203
1010660_20204_2_0,Heart,235,103,281,145
1010660_20204_2_0,Aorta,186,134,213,161
1010660_20204_2_0,IVC,156,133,183,156
1010660_20204_2_0,Kidney,209,155,258,202
1010711_20204_2_0,Liver,72,112,239,235
1010711_20204_2_0,Body,15,81,356,258
1010711_20204_2_0,Spleen,242,179,307,234
1010711_20204_2_0,Aorta,200,169,225,194
1010711_20204_2_0,IVC,160,180,177,197
1010800_20204_2_0,Liver,102,106,263,241
1010800_20204_2_0,Body,36,75,369,264
1010800_20204_2_0,Spleen,236,196,287,228
1010800_20204_2_0,Aorta,200,168,220,190
1010800_20204_2_0,IVC,178,160,193,179
1010828_20204_2_0,Liver,43,112,162,235
1010828_20204_2_0,Body,20,66,320,271
1010828_20204_2_0,Spleen,244,209,273,232
1010828_20204_2_0,Kidney,201,193,242,229
1010828_20204_2_0,Aorta,168,164,189,185
1011107_20204_2_0,Liver,55,110,183,250
1011107_20204_2_0,Body,30,80,340,282
1011107_20204_2_0,Spleen,240,183,306,246
1011107_20204_2_0,Kidney,211,190,253,229
1011107_20204_2_0,Aorta,185,168,216,193
1011107_20204_2_0,IVC,143,182,168,197
1011140_20204_2_0,Liver,92,119,272,247
1011140_20204_2_0,Body,73,89,320,270
1011140_20204_2_0,Spleen,221,179,298,230
1011140_20204_2_0,Aorta,201,175,224,198
1011140_20204_2_0,IVC,175,171,187,186
1011175_20204_2_0,Liver,73,71,230,221
1011175_20204_2_0,Body,42,33,347,264
1011175_20204_2_0,Spleen,237,148,306,215
1011175_20204_2_0,Aorta,198,159,230,191
1011175_20204_2_0,IVC,157,151,177,170
1011198_20204_2_0,Liver,75,49,241,243
1011198_20204_2_0,Body,45,12,360,271
1011198_20204_2_0,Spleen,244,164,323,233
1011198_20204_2_0,Aorta,187,149,221,177
1011198_20204_2_0,IVC,162,151,183,173
1011273_20204_2_0,Liver,72,82,256,236
1011273_20204_2_0,Body,42,42,363,271
1011273_20204_2_0,Spleen,244,174,313,222
1011273_20204_2_0,Aorta,204,168,226,189
1011273_20204_2_0,IVC,169,160,184,175
1011309_20204_2_0,Liver,78,90,246,232
1011309_20204_2_0,Body,40,55,347,269
1011309_20204_2_0,Spleen,245,169,302,231
1011309_20204_2_0,Aorta,199,161,222,183
1011309_20204_2_0,IVC,169,159,184,174
1011420_20204_2_0,Liver,90,104,254,234
1011420_20204_2_0,Body,30,70,352,269
1011420_20204_2_0,Spleen,228,186,279,225
1011420_20204_2_0,Aorta,190,171,213,192
1011420_20204_2_0,IVC,164,169,179,185
1012287_20204_2_0,Liver,72,106,251,238
1012287_20204_2_0,Body,34,80,313,267
1012287_20204_2_0,Spleen,213,205,267,238
1012287_20204_2_0,Aorta,163,162,182,185
1012287_20204_2_0,IVC,146,161,159,177
1012422_20204_2_0,Liver,64,94,232,233
1012422_20204_2_0,Body,42,55,342,268
1012422_20204_2_0,Spleen,229,167,290,222
1012422_20204_2_0,Aorta,198,168,227,196
1012422_20204_2_0,IVC,158,160,178,170
1012477_20204_2_0,Spleen,271,134,316,180
1012477_20204_2_0,Liver,74,76,248,189
1012477_20204_2_0,Body,57,45,334,215
1012477_20204_2_0,Kidney,226,129,274,164
1012477_20204_2_0,Heart,246,76,294,117
1012477_20204_2_0,Aorta,201,112,227,135
1012477_20204_2_0,IVC,160,130,178,140
1012855_20204_2_0,Liver,82,78,244,208
1012855_20204_2_0,Body,65,50,342,237
1012855_20204_2_0,Spleen,266,130,323,206
1012855_20204_2_0,Kidney,225,156,270,199
1012855_20204_2_0,IVC,166,142,192,163
1012855_20204_2_0,Aorta,201,141,226,164
1012883_20204_2_0,Body,8,27,368,266
1012883_20204_2_0,Liver,70,73,224,223
1012883_20204_2_0,Spleen,212,164,289,219
1012883_20204_2_0,Aorta,184,156,205,177
1012883_20204_2_0,IVC,162,146,175,162
1013239_20204_2_0,Liver,84,87,249,203
1013239_20204_2_0,Body,72,64,322,230
1013239_20204_2_0,Spleen,251,141,302,202
1013239_20204_2_0,Aorta,189,133,210,155
1013239_20204_2_0,IVC,156,141,181,157
1013344_20204_2_0,Liver,78,50,237,208
1013344_20204_2_0,Body,46,12,340,252
1013344_20204_2_0,Spleen,256,122,307,189
1013344_20204_2_0,Aorta,192,136,217,165
1013344_20204_2_0,Cyst,93,188,105,199
1013344_20204_2_0,Cyst,99,193,111,208
1013344_20204_2_0,Cyst,81,126,101,148
1013344_20204_2_0,Cyst,103,161,113,173
1013344_20204_2_0,Cyst,108,93,117,102
1013344_20204_2_0,Cyst,117,69,129,81
1013344_20204_2_0,Cyst,149,48,156,57
1013344_20204_2_0,Cyst,176,52,191,66
1013344_20204_2_0,Cyst,216,65,231,81
1013454_20204_2_0,Liver,77,72,224,215
1013454_20204_2_0,Body,17,30,364,264
1013454_20204_2_0,Spleen,224,168,290,208
1013454_20204_2_0,Aorta,184,155,205,177
1013454_20204_2_0,IVC,160,143,171,159
1013534_20204_2_0,Liver,50,66,215,228
1013534_20204_2_0,Body,23,17,358,258
1013534_20204_2_0,Spleen,239,157,317,210
1013534_20204_2_0,Aorta,196,148,224,173
1013567_20204_2_0,Liver,56,77,237,246
1013567_20204_2_0,Body,17,31,370,279
1013567_20204_2_0,Cyst,217,131,226,140
1013567_20204_2_0,IVC,155,164,175,183
1013567_20204_2_0,Aorta,199,162,227,190
1013642_20204_2_0,Liver,80,117,253,231
1013642_20204_2_0,Body,42,70,336,262
1013642_20204_2_0,Aorta,184,173,205,192
1013642_20204_2_0,IVC,158,170,178,188
1013642_20204_3_0,Liver,87,105,246,222
1013642_20204_3_0,Spleen,223,141,294,221
1013642_20204_3_0,Aorta,192,155,215,176
